You Asked For the Following:
Year           : From:1950 To: 2016
State            : All States By State
Species          : LOBSTER, CALIFORNIA SPINY
"Year","State","Species","Metric Tons","Pounds","$"
"1992","California","LOBSTER, CALIFORNIA SPINY","             265.9","         586,207","       3,823,949"
"1993","California","LOBSTER, CALIFORNIA SPINY","             253.1","         557,973","       3,613,248"
"1994","California","LOBSTER, CALIFORNIA SPINY","             213.5","         470,702","       3,490,463"
"1995","California","LOBSTER, CALIFORNIA SPINY","             279.6","         616,478","       4,829,558"
"1996","California","LOBSTER, CALIFORNIA SPINY","             298.6","         658,374","       5,117,534"
"1997","California","LOBSTER, CALIFORNIA SPINY","             414.3","         913,409","       6,782,252"
"1998","California","LOBSTER, CALIFORNIA SPINY","             335.0","         738,501","       4,704,994"
"1999","California","LOBSTER, CALIFORNIA SPINY","             223.8","         493,311","       3,647,995"
"2000","California","LOBSTER, CALIFORNIA SPINY","             320.5","         706,561","       4,710,924"
"2001","California","LOBSTER, CALIFORNIA SPINY","             316.1","         696,867","       4,475,393"
"2002","California","LOBSTER, CALIFORNIA SPINY","             318.5","         702,055","       4,784,056"
"2003","California","LOBSTER, CALIFORNIA SPINY","             333.7","         735,566","       5,278,396"
"2004","California","LOBSTER, CALIFORNIA SPINY","             390.2","         860,199","       6,160,408"
"2005","California","LOBSTER, CALIFORNIA SPINY","             345.2","         761,031","       6,038,571"
"2006","California","LOBSTER, CALIFORNIA SPINY","             402.0","         886,349","       8,110,562"
"2007","California","LOBSTER, CALIFORNIA SPINY","             300.6","         662,644","       6,915,601"
"2008","California","LOBSTER, CALIFORNIA SPINY","             336.2","         741,290","       8,007,649"
"2009","California","LOBSTER, CALIFORNIA SPINY","             320.3","         706,054","       7,934,354"
"2010","California","LOBSTER, CALIFORNIA SPINY","             324.6","         715,686","      11,386,190"
"2011","California","LOBSTER, CALIFORNIA SPINY","             340.8","         751,353","      12,972,498"
"2012","California","LOBSTER, CALIFORNIA SPINY","             397.6","         876,478","      13,749,382"
"2013","California","LOBSTER, CALIFORNIA SPINY","             346.7","         764,302","      13,842,204"
"2014","California","LOBSTER, CALIFORNIA SPINY","             431.6","         951,435","      18,238,492"
"2015","California","LOBSTER, CALIFORNIA SPINY","             348.3","         767,810","      15,806,408"
"2016","California","LOBSTER, CALIFORNIA SPINY","             308.4","         679,995","      13,730,988"
