You Asked For the Following:
Year           : From:1950 To: 2016
State            : All States By State
Species          : LOBSTER, SLIPPER
"Year","State","Species","Metric Tons","Pounds","$"
"2001","Florida East Coast","LOBSTER, SLIPPER","               0.5","           1,018","           3,826"
"2001","Florida West Coast","LOBSTER, SLIPPER","               3.3","           7,284","          30,523"
"2002","Florida East Coast","LOBSTER, SLIPPER","               0.2","             360","           1,072"
"2002","Florida West Coast","LOBSTER, SLIPPER","               3.8","           8,308","          32,627"
"2002","Hawaii","LOBSTER, SLIPPER","               0.0","              58","             496"
"2003","Alabama","LOBSTER, SLIPPER","               3.4","           7,416","          35,569"
"2003","Florida East Coast","LOBSTER, SLIPPER","               0.4","             806","           3,050"
"2003","Florida West Coast","LOBSTER, SLIPPER","               4.9","          10,881","          42,880"
"2003","Hawaii","LOBSTER, SLIPPER","               0.0","              35","             273"
"2004","Alabama","LOBSTER, SLIPPER","               3.2","           7,046","          38,279"
"2004","Florida East Coast","LOBSTER, SLIPPER","               0.2","             461","           1,336"
"2004","Florida West Coast","LOBSTER, SLIPPER","               6.4","          14,067","          65,343"
"2004","Hawaii","LOBSTER, SLIPPER","               0.0","               7","              56"
"2005","Alabama","LOBSTER, SLIPPER","               4.5","           9,819","          47,634"
"2005","Florida East Coast","LOBSTER, SLIPPER","               0.2","             363","           1,503"
"2005","Florida West Coast","LOBSTER, SLIPPER","               2.1","           4,574","          20,074"
"2005","Hawaii","LOBSTER, SLIPPER","               0.0","              13","             102"
"2006","Florida East Coast","LOBSTER, SLIPPER","               0.0","              58","             280"
"2006","Florida West Coast","LOBSTER, SLIPPER","               2.1","           4,571","          17,672"
"2006","Hawaii","LOBSTER, SLIPPER","               0.0","               3","              24"
"2007","Florida East Coast","LOBSTER, SLIPPER","               0.1","             246","           2,989"
"2007","Florida West Coast","LOBSTER, SLIPPER","               1.6","           3,537","          18,388"
"2007","Hawaii","LOBSTER, SLIPPER","               0.0","               4","              28"
"2008","Alabama","LOBSTER, SLIPPER","               2.8","           6,250","           8,974"
"2008","Florida East Coast","LOBSTER, SLIPPER","               0.4","             824","           1,024"
"2008","Florida West Coast","LOBSTER, SLIPPER","               2.8","           6,143","          34,105"
"2008","Hawaii","LOBSTER, SLIPPER","               0.0","               1","               4"
"2009","Florida East Coast","LOBSTER, SLIPPER","               0.1","             133","             710"
"2009","Florida West Coast","LOBSTER, SLIPPER","               0.4","             826","           3,585"
"2010","Florida East Coast","LOBSTER, SLIPPER","               0.4","             972","           2,720"
"2010","Florida West Coast","LOBSTER, SLIPPER","               0.7","           1,441","           5,105"
"2010","Hawaii","LOBSTER, SLIPPER","               0.0","              21","             196"
"2011","Florida East Coast","LOBSTER, SLIPPER","               0.2","             458","           2,163"
"2011","Florida West Coast","LOBSTER, SLIPPER","               0.7","           1,469","           5,462"
"2011","Hawaii","LOBSTER, SLIPPER","               0.0","               3","              26"
"2012","Florida East Coast","LOBSTER, SLIPPER","               0.0","              98","             336"
"2012","Florida West Coast","LOBSTER, SLIPPER","               0.6","           1,237","           7,796"
"2012","Hawaii","LOBSTER, SLIPPER","               0.0","              19","              95"
"2013","Florida East Coast","LOBSTER, SLIPPER","               0.1","             239","             802"
"2013","Florida West Coast","LOBSTER, SLIPPER","               0.5","           1,053","           4,629"
"2013","Hawaii","LOBSTER, SLIPPER","               0.0","              52","             414"
"2014","Florida East Coast","LOBSTER, SLIPPER","               0.1","             179","             483"
"2014","Florida West Coast","LOBSTER, SLIPPER","               0.7","           1,553","           3,619"
"2014","Hawaii","LOBSTER, SLIPPER","               0.0","             106","             841"
"2015","Florida East Coast","LOBSTER, SLIPPER","               0.3","             638","           2,807"
"2015","Florida West Coast","LOBSTER, SLIPPER","               0.4","             788","           1,505"
"2016","Florida East Coast","LOBSTER, SLIPPER","               0.1","             135","             642"
"2016","Florida West Coast","LOBSTER, SLIPPER","               0.4","             941","           4,012"
"2016","Hawaii","LOBSTER, SLIPPER","               0.1","             138","           1,070"
